County,Precinct,First Expression,Final Expression,SDE
,Precinct #08-Modale,10,10,0.4667
,Precinct #03-Dunlap,69,65,0.8401
,Precinct #01-Little Sioux,7,6,0.1866
,Precinct #02-Pisgah,15,15,0.2799
,Precinct #06-Boyer/Lincoln,19,19,0.2799
,Total,250,243,4.1998
Henry,Southwest Precinct,53,53,0.6665
,Northwest Precinct,68,68,0.8666
,Northeast Precinct,48,48,0.8667
,Mt. Pleasant Ward 2,73,73,1.2001
,Central Precinct,106,101,1.3334
,Mt. Pleasant Ward 3,81,81,1.1334
,Mt. Pleasant Ward 1,74,66,1.0667
,Total,503,490,7.1334
Howard,Cresco 2,59,59,0.8572
,Vernon Springs,32,29,0.7144
,Saratoga/Howard Ctr/Chest,13,13,0.4287
,Afton/Howard/Paris,24,22,0.8572
,Jamestown/Oakdale,17,12,0.2858
,Albion/Forest City,26,26,0.4287
,Cresco 3,55,55,0.7144
,New Oregon,15,15,0.4286
,Total,241,231,4.715
Humboldt,Humboldt 2-Beaver-South Norway,58,58,0.8001
,Humboldt 3-South Rutland,55,55,0.889
,Dakota City-Grove,23,23,0.4445
,North Lake-East Vernon,3,2,0.1778
,Humboldt 1-Corinth-South Weaver,59,57,0.889
,Delana-Wacousta-North Rutland,23,21,0.2667
,Total,221,216,3.4671
Ida,Ida Grove Ward 3,15,15,0.45
,Ida Grove Ward 1,13,13,0.3
,City of Holstein,60,60,0.9
,City of Arthur,16,14,0.3
,Ida Grove Ward 2,12,12,0.3
,City of Battle Creek & Grant Township,26,26,0.6
,Total,142,140,2.85
Iowa,Williamsburg,146,146,2.3
,Lenox/Iowa,162,159,2.0
,Marengo City,86,75,1.4
,Hilton/Washington,65,64,0.8
,Pilot/Troy/York,35,35,0.6
,Fillmore/Greene,57,57,0.8
,Honey Creek/Marengo Rural,16,16,0.3
,Hartford I/Sumner,15,15,0.3
,Dayton/English I,24,24,0.3
,English II,56,56,0.6
,Hartford II/Lincoln,39,38,0.6
,Total,701,685,10.0
