County,Precinct,First Expression,Final Expression,SDE
,Fairfield 2nd Ward,200,218,1.3091
,Des Moines-Liberty-Libertyville,4,5,0
,Total,717,791,5.4544
Johnson,IOWA CITY 21,375,383,2.4300
,IOWA CITY 18,279,313,2.0250
,GRAHAM TOWNSHIP,9,0,0
,HARDIN TOWNSHIP,10,0,0
,NEWPORT TOWNSHIP,40,0,0
,PENN/ EAST LUCAS NORTH,69,0,0
,UNION TOWNSHIP,11,0,0
,CEDAR TOWNSHIP,20,28,0
,BIG GROVE TOWNSHIP,23,0,0
,JEFFERSON EAST/SHUEYVILLE,25,0,0
,IOWA CITY 11,263,281,1.6200
,CORALVILLE 01,208,224,1.6200
,IOWA CITY 20,274,300,1.6200
,IOWA CITY 19,224,236,1.6200
,IOWA CITY 03,196,213,1.6200
,IOWA CITY 12/EAST LUCAS SE,139,146,1.6200
,IOWA CITY 05,291,313,1.6200
,IOWA CITY 16,171,181,1.6200
,IOWA CITY 02,131,146,1.6200
,IOWA CITY 09,147,160,1.6200
,CORALVILLE 03,48,50,0.4050
,LIBERTY-PLEASANT VALLEY,26,38,0.4050
,FREMONT-LINCOLN (INCLUDES,38,38,0.4050
,WEST LUCAS TOWNSHIP,27,27,0.4050
,HILLS,19,29,0.4050
,OXFORD TOWNSHIP/OXFORD,30,30,0.4050
,UNIVERSITY HEIGHTS,74,79,0.4050
,SCOTT TWP-WEST BRANCH,45,48,0.4050
,CLEAR CREEK/TIFFIN,86,95,0.8100
,CORALVILLE 02,93,104,0.8100
,NORTH LIBERTY 03 (PW),72,77,0.8100
,NORTH LIBERTY 01,74,81,0.8100
,IOWA CITY 08,78,91,0.8100
,NORTH LIBERTY 02,63,72,0.8100
,CORALVILLE 06,86,86,0.8100
,CORALVILLE 07,80,85,0.8100
,NORTH LIBERTY 05,62,68,0.8100
,NORTH LIBERTY 04,55,58,0.8100
,IOWA CITY 24,117,125,1.2150
,CORALVILLE 05,138,140,1.2150
,IOWA CITY 15,99,110,1.2150
,IOWA CITY 13,159,176,1.2150
,IOWA CITY 22,160,168,1.2150
,IOWA CITY 14,166,179,1.2150
,IOWA CITY 04,165,180,1.2150
,IOWA CITY 06,130,138,1.2150
,CORALVILLE 04,109,115,1.2150
,IOWA CITY 10/ELSW,95,105,1.2150
,IOWA CITY 01,125,140,1.2150
,IOWA CITY 07,151,168,1.2150
,NL06/MADISON /CCN,99,107,1.2150
,Total,"5,674","5,931",47.7900
Jones,OX-OXFORD,1,0,0
,FV-FAIRVIEW,5,0,0
,ANS-ANAMOSA SOUTH/JACKSON,28,28,0.4800
,GF-GREENFIELD,5,5,0.1600
,RLWS-RICHLAND WASHINGTON,7,11,0.1600
,SGMC-SC GRV/MADISON/CLAY,9,10,0.1600
,MN2-MONTICELLO 2,11,12,0.1600
,MN3-MONTICELLO 3,13,14,0.1600
,MN4-MONTICELLO 4,7,7,0.1600
,CGLW-CASTLE GRV/LOV/WAYN,13,14,0.1600
,MN1-MONTICELLO 1,8,8,0.3200
,ANN-ANAMOSA NORTH/CASS,13,16,0.3200
,ROHA-ROME/HALE,8,8,0.3200
,Total,128,133,2.5600
Keokuk,Lafayette/Clear Creek,10,10,0.2286
,English River/Liberty,17,17,0.2286
,Sigourney 4th Ward,3,0,0
,Sigourney 3rd Ward,1,0,0
,Sigourney 1st Ward,4,0,0
,Jackson,1,1,0
,Warren,3,3,0
,Richland,2,2,0
,Sigourney/Plank/Van Buren,0,0,0
,Adams,3,0,0
,Sigourney 2nd Ward,8,9,0.1143
,Benton/Steady Run,5,5,0.1143
,Prairie,2,2,0.1143
,What Cheer/Washington,2,3,0.1143
,Total,61,52,0.9144
Kossuth,AL3,10,10,0.1778
,AL1,10,10,0.1778
,HB- LY- LN- SF,3,3,0.0889
,BT- FT- UN,10,10,0.1778
,IV- PC,0,0,0
,LC,2,2,0
,UN,1,1,0
,AL4,4,0,0
,GF- WM,1,0,0
,EG- GT- HS- SW,0,0,0
,PC,0,0,0
,CR- IV- RV,2,0,0
,AL2,3,0,0
,GW- SN,1,1,0
,LV- SM,1,0,0
,GM- RM,3,0,0
,BF- PT,2,0,0
,Total,53,37,0.6223
Lee,Fort Madison 5,21,31,0.5600
,Keokuk 2,13,13,0.4200
,Montrose,4,2,0
,Franklin/Cedar/Marion/Harison,7,0,0
,Fort Madison 2,13,13,0.1400
,Charleston/DSM/Van Buren,8,9,0.1400
,Keokuk 1,13,13,0.1400
,Keokuk 3,14,14,0.1400
,Jefferson,11,11,0.1400
,Keokuk 4,10,10,0.2800
,Keokuk 5,13,14,0.2800
,Keokuk 7,15,18,0.2800
,Green Bay/Washington,9,11,0.2800
,Keokuk 6,9,9,0.2800
,Fort Madison 4,12,12,0.2800
,Fort Madison 1,26,27,0.2800
,Total,198,207,3.6400
Linn,Linn,5,0,0
,Marion township,18,0,0
,Robins,23,0,0
,College,4,0,0
,Monroe 1,3,0,0
,Cedar Rapids 11,36,0,0
,Monroe 2,22,25,0
