County,Precinct,First Expression,Final Expression,SDE
,BU/HA/MO/NB/Davis City/Pleasanton,2,2,0.0471
,Total,55,61,0.7530
Delaware,South Fork/Union,11,13,0.2250
,Delaware,6,6,0.1500
,Delhi/Delaware Corp,3,0,0
,Oneida/N Fork/Bremen,13,14,0.3750
,Manchester Ward 2,14,26,0.5250
,Manchester Ward 3,15,15,0.3000
,Milo/Prairie,0,0,0
,Colony,3,3,0.0750
,Manchester Ward 1,12,12,0.2250
,Adams/Hazel Green,7,8,0.1500
,Total,84,97,2.0250
Des Moines,PCT PW,3,0,0
,PCT HJ,15,21,0.3600
,PCT MY,29,34,0.7200
,PCT FM,34,37,0.7200
,PCT 9,43,51,1.0800
,PCT 6,12,20,0.3600
,PCT UNION,6,10,0.3600
,PCT WB,26,31,0.7200
,PCT 8,69,76,1.0800
,PCT 2,43,51,0.7200
,PCT 7,43,54,0.7200
,PCT 4,21,22,0.3600
,Total,344,407,7.2000
Dickinson,Precinct No. 14,6,10,0.1250
,Precinct No. 04,2,0,0
,Precinct No. 12,9,14,0.1250
,Precinct No. 03,14,14,0.2500
,Precinct No. 02,13,16,0.2500
,Precinct No. 06,3,3,0.1250
,Precinct No. 09,5,5,0.1250
,Precinct No. 07,0,0,0
,Precinct No. 08,27,27,0.5000
,Precinct No. 11,14,17,0.1250
,Precinct No. 13,14,21,0.2500
,Precinct No. 01,3,0,0
,Total,110,127,1.8750
Dubuque,Dubuque_10,55,61,0.8000
,Dubuque_01,63,78,0.8000
,Dubuque_33,32,41,0.8000
,Dubuque_04,45,53,0.8000
,Dubuque_19,47,61,0.5333
,Dubuque_11,29,29,0.5333
,Dubuque_09a,39,49,0.5333
,Dubuque_32,84,85,1.0667
,Dubuque_16,6,4,0
,Dubuque_05,53,68,1.0667
,Dubuque_12,23,29,0.5333
,Dubuque_06,42,42,0.5333
,Dubuque_08,26,35,0.5333
,Dubuque_43,42,42,0.8000
,Dubuque_17,17,19,0.2667
,Dubuque_18,38,50,0.5333
,Dubuque_13,27,33,0.8000
,Dubuque_41,29,30,0.8000
,Dubuque_35,16,20,0.2667
,Dubuque_37,7,8,0.2667
,Dubuque_42,30,30,0.5333
,Dubuque_44,1,1,0
,Total,751,868,12.7999
Emmet,Estherville Ward 3,11,19,0.2286
,HL-TM-Wallingford,4,8,0.1143
,EL-LN-Dolliver,2,2,0.1143
,Estherville Ward 2,7,11,0.2286
,AG-IL-Armstrong,4,6,0.1143
,Estherville Ward 5,4,6,0.1143
,Estherville Ward 4,6,6,0.1143
,Estherville Ward 1,8,8,0.1143
,Total,46,66,1.1430
Fayette,FAIRFIELD-PUTNAM TWP,3,3,0.1200
,ILLYRIA TWP,14,15,0.2400
,BANKS-FREMONT TWP,10,11,0.2400
,DOVER TWP,2,0,0
,WEST UNION - WARD 1,11,11,0.1200
,HARLAN TWP,3,3,0.3600
,ORAN TWP,3,10,0.1200
,JEFFERSON TWP,12,12,0.1200
,FAIRBANK INC,4,9,0.1200
,WEST UNION - WARD 3,10,10,0.1200
,SCOTT TWP,0,0,0
,WEST UNION - WARD 2,7,10,0.2400
,EDEN TWP,2,0,0
,PLEASANT VALLEY TWP,13,14,0.2400
,CLERMONT TWP,8,8,0.1200
,OELWEIN - WARD 2,13,17,0.3600
,WESTFIELD TWP,18,20,0.2400
,OELWEIN - WARD 3,14,18,0.3600
,OELWEIN - WARD 4,30,40,0.4800
,Total,177,211,3.6000
Floyd,Floyd-Cedar-Niles,10,11,0.2222
,St Charles-Riverton,28,30,0.4444
,Scott-Union-Pleasant Grove,5,5,0.1111
,Charles City Corp/CC2,24,25,0.4444
,Rock Grove-Rudd,16,20,0.3333
,Charles City Corp/CC1,22,22,0.3333
,Charles City Corp/CC3,17,20,0.3333
,Total,122,133,2.2220
Franklin,RICHLAND/ ROSS/ WEST FORK,9,9,0.2222
,OAKLAND/ MORGAN,1,0,0
,MARION,6,6,0.1667
,WEST MOTT TOWNSHIP,4,5,0.0556
,HAMILTON/ LEE/ REEVE,7,8,0.1111
,HAMPTON 2,12,14,0.2222
,GRANT/ OSCEOLA,0,0,0
,GENEVA/ INGHAM/ EAST MOTT,0,0,0
,HAMPTON 1,4,5,0.1667
,HAMPTON 3,10,10,0.2222
,HAMPTON 4,8,8,0.1111
,Total,61,65,1.2778
Fremont,Farragut,14,16,0.2250
,Riverton,1,1,0.0750
,Sidney,15,16,0.1500
,Green Riverside Scott,9,11,0.2250
,Total,39,44,0.6750
Greene,West Precinct,5,6,0.1200
,Central Precinct,10,10,0.1200
,North Precinct,9,11,0.2400
,Jefferson 1 Precinct,21,21,0.3600
,Jefferson 2 Precinct,12,17,0.3600
,East Precinct,13,16,0.3600
,Jefferson 3 Precinct,29,31,0.4800
,Total,99,112,2.0400
Grundy,PRECINCT 3,5,7,0.2000
,PRECINCT 1,11,14,0.3000
,PRECINCT 6,16,21,0.4000
,PRECINCT 2,7,8,0.1000
,PRECINCT 4,4,0,0
,Total,43,50,1.0000
Guthrie,Black,8,9,0.1714
,Red,6,8,0.0857
,Purple,10,0,0
,Blue,23,30,0.4286
,Brown,7,7,0.1714
,Green,10,15,0.4286
,Total,64,69,1.2857
Hamilton,PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,7,8,0.1000
,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,5,6,0.1000
