County,Precinct,First Expression,Final Expression,SDE
,Green Bay/Washington,10,15,0.2800
,Keokuk 6,0,0,0
,Fort Madison 4,1,0,0
,Fort Madison 1,0,0,0
,Total,51,55,0.8400
Linn,Linn,7,0,0
,Marion township,24,36,0.4395
,Robins,47,48,0.4395
,College,7,22,0
,Monroe 1,22,24,0.4395
,Cedar Rapids 11,64,74,0.8791
,Monroe 2,31,33,0.4395
,Boulder,0,0,0
,Spring Grove,1,1,0
,Fayette,8,0,0
,Marion 14,35,41,0.4395
,Fairfax Township,13,23,0.4395
,Hiawatha4,2,2,0
,Otter Creek,0,0,0
,Grant,7,14,0.4395
,Clinton,10,0,0
,Buffalo,0,0,0
,Cedar Rapids 21,8,0,0
,Mount Vernon South,42,0,0
,Cedar Rapids 34,22,36,0.4395
,Cedar Rapids 38,0,0,0
,Cedar Rapids 26,73,92,0.8791
,Cedar Rapids 17,34,39,0.4395
,Cedar Rapids 33,10,0,0
,Cedar Rapids 13,20,0,0
,Cedar Rapids 06,36,55,0.4395
,Marion 06,25,0,0
,Franklin,36,44,0.4395
,Marion 05,49,57,0.8791
,Marion 01,22,22,0
,Cedar Rapids 29,22,0,0
,Cedar Rapids 10,65,65,0.8791
,Hiawatha 1,42,55,0.8791
,Cedar Rapids 37,23,0,0
,Cedar Rapids 20,19,0,0
,Cedar Rapids 02,4,0,0
