County,Precinct,First Expression,Final Expression,SDE
,Delhi/Delaware Corp,22,22,0.525
,Oneida/N Fork/Bremen,42,37,0.975
,Manchester Ward 2,56,53,1.05
,Manchester Ward 3,58,58,1.2
,Milo/Prairie,42,42,0.9
,Colony,18,18,0.375
,Manchester Ward 1,45,45,0.9
,Adams/Hazel Green,24,24,0.525
,Total,376,367,7.65
Des Moines,PCT PW,20,20,0.36
,PCT HJ,37,37,0.72
,PCT MY,81,81,1.44
,PCT FM,98,97,1.7999999999999998
,PCT 9,146,145,2.52
,PCT 6,67,67,1.08
,PCT UNION,25,18,0.72
,PCT WB,111,111,2.16
,PCT 8,189,182,2.88
,PCT 2,152,147,2.52
,PCT 7,182,182,2.16
,PCT 4,90,84,1.7999999999999998
,Total,1198,1171,20.159999999999997
Dickinson,Precinct No. 14,33,33,0.5
,Precinct No. 04,13,11,0.25
,Precinct No. 12,35,35,0.5
,Precinct No. 03,46,46,0.75
,Precinct No. 02,48,48,0.625
,Precinct No. 06,9,9,0.25
,Precinct No. 09,7,7,0.125
,Precinct No. 07,11,11,0.125
,Precinct No. 08,97,97,1.75
,Precinct No. 11,62,62,0.75
,Precinct No. 13,54,54,0.75
,Precinct No. 01,32,32,0.625
,Total,447,445,7.0
Dubuque,Dubuque_10,208,208,2.9333
,Dubuque_01,254,243,2.6666000000000003
,Dubuque_33,101,98,1.8666
,Dubuque_04,201,188,3.2
,Dubuque_19,261,260,2.6666
,Dubuque_11,131,131,2.1333
,Dubuque_09a,228,228,2.1333
,Dubuque_32,220,189,2.6666000000000003
,Dubuque_16,127,127,1.3333
,Dubuque_05,196,193,2.9333
,Dubuque_12,137,135,2.6666000000000003
,Dubuque_06,181,181,2.3999
,Dubuque_08,132,132,1.8666
,Dubuque_43,152,153,2.3999
,Dubuque_17,110,107,1.3334
,Dubuque_18,217,217,1.8666
,Dubuque_13,104,104,1.8666
,Dubuque_41,82,82,1.8666999999999998
,Dubuque_35,58,58,1.0667
,Dubuque_37,33,33,0.8001
,Dubuque_42,114,114,1.8666999999999998
,Dubuque_44,8,8,0.2667
,Total,3255,3189,44.7994
Emmet,Estherville Ward 3,50,48,0.6858
,HL-TM-Wallingford,15,15,0.2286
,EL-LN-Dolliver,4,4,0.1143
,Estherville Ward 2,27,27,0.5715
,AG-IL-Armstrong,22,22,0.4572
,Estherville Ward 5,22,21,0.3429
,Estherville Ward 4,34,34,0.4572
,Estherville Ward 1,37,37,0.5715
,Total,211,208,3.429
Fayette,FAIRFIELD-PUTNAM TWP,19,18,0.48
,ILLYRIA TWP,22,22,0.36
,BANKS-FREMONT TWP,25,25,0.48
,DOVER TWP,14,14,0.24
,WEST UNION - WARD 1,39,39,0.6
,HARLAN TWP,4,4,0.48
,ORAN TWP,15,15,0.24
,JEFFERSON TWP,26,26,0.36
,FAIRBANK INC,21,21,0.36
,WEST UNION - WARD 3,31,30,0.48
,SCOTT TWP,5,5,0.12
,WEST UNION - WARD 2,19,15,0.36
,EDEN TWP,15,15,0.24
,PLEASANT VALLEY TWP,40,40,0.6
,CLERMONT TWP,27,26,0.48
,OELWEIN - WARD 2,36,36,0.84
,WESTFIELD TWP,67,67,0.84
,OELWEIN - WARD 3,52,52,1.08
,OELWEIN - WARD 4,106,104,1.32
,Total,583,574,9.959999999999999
Floyd,Floyd-Cedar-Niles,58,58,0.8888
,St Charles-Riverton,88,88,1.111
,Scott-Union-Pleasant Grove,28,25,0.5555
,Charles City Corp/CC2,112,112,1.8887999999999998
,Rock Grove-Rudd,79,79,1.4443
,Charles City Corp/CC1,97,97,1.5554
,Charles City Corp/CC3,95,94,1.6665
,Total,557,553,9.1103
Franklin,RICHLAND/ ROSS/ WEST FORK,40,38,0.8889
,OAKLAND/ MORGAN,15,15,0.2778
,MARION,12,12,0.2779
,WEST MOTT TOWNSHIP,15,15,0.2223
,HAMILTON/ LEE/ REEVE,22,22,0.27780000000000005
,HAMPTON 2,37,37,0.5555
,GRANT/ OSCEOLA,6,6,0.2223
,GENEVA/ INGHAM/ EAST MOTT,14,14,0.3334
,HAMPTON 1,14,14,0.4445
,HAMPTON 3,32,32,0.6666
,HAMPTON 4,38,38,0.6111
,Total,245,243,4.7781
Fremont,Farragut,40,40,0.6
,Riverton,2,2,0.15
,Sidney,79,79,0.8999999999999999
,Green Riverside Scott,40,40,0.825
,Total,161,161,2.4750000000000005
Greene,West Precinct,29,27,0.48
,Central Precinct,58,58,0.6
,North Precinct,47,46,0.72
,Jefferson 1 Precinct,55,55,0.96
,Jefferson 2 Precinct,47,47,0.96
,East Precinct,42,42,0.84
