County,Precinct,First Expression,Final Expression,SDE
,ANN-ANAMOSA NORTH/CASS,20,21,0.3200
,ROHA-ROME/HALE,0,0,0
,Total,78,66,1.1200
Keokuk,Lafayette/Clear Creek,9,10,0.2286
,English River/Liberty,0,0,0
,Sigourney 4th Ward,0,0,0
,Sigourney 3rd Ward,0,0,0
,Sigourney 1st Ward,7,11,0.1143
,Jackson,0,0,0
,Warren,0,0,0
,Richland,2,2,0
,Sigourney/Plank/Van Buren,4,4,0.1143
,Adams,1,4,0.1143
,Sigourney 2nd Ward,0,0,0
,Benton/Steady Run,1,0,0
,Prairie,0,0,0
,What Cheer/Washington,4,4,0.1143
,Total,28,35,0.6858
Kossuth,AL3,8,8,0.0889
,AL1,8,8,0.0889
,HB- LY- LN- SF,2,2,0.0889
,BT- FT- UN,0,0,0
,IV- PC,0,0,0
,LC,0,0,0
,UN,0,0,0
,AL4,0,0,0
,GF- WM,0,0,0
,EG- GT- HS- SW,1,0,0
,PC,1,1,0
,CR- IV- RV,1,0,0
,AL2,4,0,0
,GW- SN,0,0,0
,LV- SM,1,0,0
,GM- RM,4,5,0.0889
,BF- PT,0,0,0
,Total,30,24,0.3556
Lee,Fort Madison 5,4,0,0
,Keokuk 2,2,5,0.1400
,Montrose,8,12,0.1400
,Franklin/Cedar/Marion/Harison,4,0,0
,Fort Madison 2,14,15,0.2800
,Charleston/DSM/Van Buren,6,7,0.1400
,Keokuk 1,14,15,0.1400
,Keokuk 3,13,14,0.2800
,Jefferson,0,0,0
,Keokuk 4,2,0,0
,Keokuk 5,10,13,0.1400
,Keokuk 7,5,0,0
,Green Bay/Washington,7,0,0
,Keokuk 6,6,6,0.1400
,Fort Madison 4,11,11,0.1400
,Fort Madison 1,0,0,0
,Total,106,98,1.5400
Linn,Linn,7,21,0.4395
,Marion township,15,0,0
,Robins,42,56,0.8791
,College,7,0,0
,Monroe 1,16,0,0
,Cedar Rapids 11,48,68,0.4395
,Monroe 2,8,0,0
,Boulder,9,9,0
,Spring Grove,5,5,0
,Fayette,13,19,0.4395
,Marion 14,33,49,0.4395
,Fairfax Township,2,0,0
,Hiawatha4,4,4,0
,Otter Creek,10,16,0.4395
,Grant,5,0,0
,Clinton,5,0,0
,Buffalo,9,9,0
,Cedar Rapids 21,32,35,0.8791
,Mount Vernon South,117,139,0.8791
,Cedar Rapids 34,49,50,0.4395
,Cedar Rapids 38,26,31,0.4395
,Cedar Rapids 26,129,133,0.8791
,Cedar Rapids 17,52,61,0.8791
,Cedar Rapids 33,33,43,0.8791
,Cedar Rapids 13,53,65,0.8791
,Cedar Rapids 06,42,47,0.4395
,Marion 06,41,46,0.4395
,Franklin,0,0,0
,Marion 05,40,0,0
,Marion 01,28,28,0.8791
,Cedar Rapids 29,33,39,0.4395
,Cedar Rapids 10,57,57,0.4395
,Hiawatha 1,25,0,0
